"signature","coef","se","pval","fdr"
"Interleukins_Receptor_Li_et_al",-0.00371728401091718,0.613132375870315,0.995162634584072,0.995162634584072
"Natural_Killer_Cell_Cytotoxicity_Li_et_al",0.128456511502244,0.423314211666528,0.761543681064537,0.926519251162567
"TCR_signaling_Pathway_Li_et_al",-0.156528979496027,0.255023394465395,0.539358848122985,0.911365815183375
"TGFb_Family_Member_Receptor_Li_et_al",0.160820070746886,0.360212529384518,0.655265832592117,0.911494097864163
"TNF_Family_Members_Li_et_al",0.233701661922821,0.335068128849613,0.485505544508203,0.893581762218866
"TNF_Family_Members_Receptors_Li_et_al",0.24402281907042,0.452560904661733,0.589745842936725,0.911494097864163
"T_cell_exhaustion_Peng_et_al",-0.462654561375709,0.272738533513537,0.0898233987820894,0.693866592811139
"T_cell_regulatory_Peng_et_al",0.0548400166239994,0.49909483875029,0.912505377242668,0.976718782169671
"ICB_resistance_Peng_et_al",0.180228240249968,0.267527452948937,0.500513957968466,0.893581762218866
"MDSC_Peng_et_al",0.707769665393861,0.2964310862537,0.0169571068502666,0.362882086595705
"TAM_Peng_et_al",-0.521987424075638,0.412019981869966,0.205191648450052,0.743104348661138
"CD4_c0_Tcm",0.139391980921173,0.33951257632486,0.681391532241346,0.911494097864163
"CD4_c1_Treg",-0.0690699849339039,0.325156332416173,0.831778719968096,0.941572206255872
"CD4_c10_Tn_LEF1_ANKRD55",-0.143189932479442,0.384475824274868,0.70957349312498,0.911494097864163
"CD4_c3_Tfh",-0.324366945779091,0.342964425487769,0.344263707046876,0.893581762218866
"CD4_c5_CTL",0.262052199387856,0.326619940925065,0.422370552626115,0.893581762218866
"CD4_c7_Tn_TCEA3",-0.653743447445599,0.34502160419472,0.0581202431402851,0.690985112890056
"CD4_c8_Tf17",-0.560025043536521,0.468446113081781,0.231893640609282,0.800407082103007
"CD4_c9_Tn_TCF7_SLC40A1",-0.37800039365803,0.39102391186291,0.33369712436219,0.892639807668857
"CD8_c0_t_Teff",0.319585307277081,0.300104565545118,0.28691522004577,0.888863810677915
"CD8_c1_Tex",0.124850959852168,0.339406148642299,0.712984187731184,0.911494097864163
"CD8_c10_Teff_CD244",-0.142046894120692,0.283526973543787,0.616371419854895,0.911494097864163
"CD8_c11_Teff_SEMA4A",-0.599754817584512,0.350526657578788,0.0870791608615988,0.693866592811139
"CD8_c12_Trm",-0.146866820071866,0.300056822117923,0.62451368913264,0.911494097864163
"CD8_c13_Tn_TCF7",-0.350923931286546,0.320660776731495,0.273789458638824,0.887741578010733
"CD8_c2_Teff",-0.0300903974331646,0.338197699481335,0.929103524106467,0.984297792865267
"CD8_c3_Tn",-0.276041243198328,0.382873128776467,0.470926038632792,0.893581762218866
"CD8_c6_Tcm",-0.143362995014856,0.3716320168816,0.699669981149327,0.911494097864163
"CD8_c7_p_Tex",0.194387195996526,0.280107243316718,0.487698398066985,0.893581762218866
"CD8_c8_Teff_KLRG1",0.205501297771347,0.354526710248836,0.562150876655166,0.911365815183375
"Mast",0.527346385098512,0.41915304018992,0.20834701364331,0.743104348661138
"Mo_01_CD14",-0.0102325229211222,0.327938864438046,0.975108020632017,0.995162634584072
"Mo_02_CD16",0.0726153841277293,0.279369372464285,0.794920798347622,0.934687092562589
"Mono_like_01_CD14",0.618215756947372,0.348758995223468,0.0762923672593623,0.693866592811139
"Mono_like_02_CD16",0.374795244665553,0.289561982341657,0.195543726931008,0.743104348661138
"Mono_like_03_CD14CD16",0.420166870580023,0.306051751384205,0.169795199993616,0.743104348661138
"MonoDC",0.119761053788446,0.270853125756101,0.658371730749847,0.911494097864163
"Mph_01_MARCO",0.141284800369272,0.332598779603477,0.670989406958968,0.911494097864163
"Mph_02_CCL20",0.672580519216894,0.279342233732591,0.0160520723166134,0.362882086595705
"Mph_03_SPP1",0.659835702331536,0.294664734209452,0.0251379557493273,0.448293544196337
"Mph_04_TREM2",0.537308361587726,0.282534747922083,0.0572048157628601,0.690985112890056
"Mph_05_IL1B",0.47561843580813,0.302053578048977,0.115345077626062,0.69491453782428
"Mph_06_CXCL9",0.390123347206097,0.283051564761925,0.168117906215457,0.743104348661138
"Mph_07_SLC40A1",0.311796880042883,0.295128580813677,0.290749844614271,0.888863810677915
"Mph_08_APOE",0.47154114090807,0.296530971868125,0.111791562340861,0.69491453782428
"Mph_09_STMN1",0.350940337307597,0.278235139906605,0.207197732448417,0.743104348661138
"Neu_01_MMP8",0.266908583395555,0.307539035583832,0.385457171163934,0.893581762218866
"Neu_02_S100A12",0.2185958749201,0.371020024258079,0.55574361083036,0.911365815183375
"Neu_03_ISG15",0.308986276297991,0.338326516482726,0.361096175875784,0.893581762218866
"Neu_04_TXNIP",0.215322046034389,0.340002257771687,0.526540410629594,0.908706837699461
"Neu_05_ELL2",0.522223680609191,0.31492834377074,0.0972710176838045,0.693866592811139
"Neu_06_PTGS2",0.398870745800452,0.3029194068758,0.187920648034318,0.743104348661138
"Neu_07_APOA2",0.397023744353513,0.275418629337904,0.149435492434709,0.726799895023355
"Neu_08_CD74",0.455902274759969,0.270925765863826,0.092422109608069,0.693866592811139
"Neu_09_IFIT1",0.337889747726873,0.293699403297615,0.249953994387165,0.835783668732082
"Neu_10_SPP1",0.483121231136892,0.28349969808472,0.088356216292999,0.693866592811139
"Neu_11_CCL4",0.426491664288692,0.277075044739928,0.123739838927789,0.696850671856495
"DC_01_CLEC9A",0.0518840534171986,0.317449974437796,0.870171937437983,0.950085686794532
"DC_02_CD1C",0.196512555523111,0.297866748417372,0.50942511677898,0.893581762218866
"DC_03_LAMP3",0.223925962039772,0.280972158824903,0.425469321591256,0.893581762218866
"DC_04_CD207",0.155148459747806,0.306122334212225,0.612282180222872,0.911494097864163
"DC_05_LILRA4",0.216243419870233,0.284102758015116,0.446570410009573,0.893581762218866
"DC_06_STMN1",0.12816516133878,0.289713260485584,0.658209731077341,0.911494097864163
"CAF_S1",0.0675942039222126,0.366246767799473,0.853574803802052,0.941572206255872
"Normal_Fibroblast",-1.21349494825282,0.469180401556139,0.0096980254743111,0.362882086595705
"TMEscore_CIR",0.142805418120469,0.260189755645559,0.583107679635293,0.911494097864163
